ticker,company,gics_sector,gics_sub_industry
MMM,3M Co,Industrials,Industrial Conglomerates
AOS,A O Smith Corp,Industrials,Building Products
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie Inc,Health Care,Pharmaceuticals
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc,Information Technology,Application Software
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors
AES,AES Corp,Utilities,Electric Utilities
AFL,Aflac Inc,Financials,Life & Health Insurance
A,Agilent Technologies Inc,Health Care,Life Sciences Tools & Services
APD,Air Products and Chemicals Inc,Materials,Industrial Gases
ABNB,Airbnb Inc,Consumer Discretionary,Hotels Resorts & Cruise Lines
AKAM,Akamai Technologies Inc,Information Technology,IT Consulting & Other Services
ALB,Albemarle Corp,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs
ALGN,Align Technology Inc,Health Care,Health Care Supplies
ALLE,Allegion plc,Industrials,Building Products
LNT,Alliant Energy Corp,Utilities,Electric Utilities
ALL,Allstate Corp,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc Cl A,Communication Services,Interactive Media & Services
GOOG,Alphabet Inc Cl C,Communication Services,Interactive Media & Services
MO,Altria Group Inc,Consumer Staples,Tobacco
AMZN,Amazon.com Inc,Consumer Discretionary,Broadline Retail
AMCR,Amcor plc,Materials,Paper & Plastic Packaging Products & Materials
AEE,Ameren Corp,Utilities,Multi-Utilities
AAL,American Airlines Group Inc,Industrials,Passenger Airlines
AEP,American Electric Power Co Inc,Utilities,Electric Utilities
AXP,American Express Co,Financials,Consumer Finance
AIG,American International Group Inc,Financials,Multi-line Insurance
AMT,American Tower Corp,Real Estate,Telecom Tower REITs
AWK,American Water Works Co Inc,Utilities,Water Utilities
AMP,Ameriprise Financial Inc,Financials,Asset Management & Custody Banks
AME,AMETEK Inc,Industrials,Electronic Equipment & Instruments
AMGN,Amgen Inc,Health Care,Biotechnology
APH,Amphenol Corp,Information Technology,Electronic Components
ADI,Analog Devices Inc,Information Technology,Semiconductors
ANSS,ANSYS Inc,Information Technology,Application Software
AON,Aon plc,Financials,Insurance Brokers
APA,APA Corp,Energy,Oil & Gas Exploration & Production
AAPL,Apple Inc,Information Technology,Technology Hardware Storage & Peripherals
AMAT,Applied Materials Inc,Information Technology,Semiconductor Materials & Equipment
APTV,Aptiv plc,Consumer Discretionary,Automotive Parts & Equipment
ACGL,Arch Capital Group Ltd,Financials,Property & Casualty Insurance
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products & Services
ANET,Arista Networks Inc,Information Technology,Communications Equipment
AJG,Arthur J Gallagher & Co,Financials,Insurance Brokers
AIZ,Assurant Inc,Financials,Multi-line Insurance
T,AT&T Inc,Communication Services,Integrated Telecommunication Services
ATO,Atmos Energy Corp,Utilities,Gas Utilities
ADSK,Autodesk Inc,Information Technology,Application Software
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores
AVB,AvalonBay Communities Inc,Real Estate,Residential REITs
AVY,Avery Dennison Corp,Materials,Paper & Plastic Packaging Products & Materials
AXON,Axon Enterprise Inc,Industrials,Research & Consulting Services
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
BALL,Ball Corp,Materials,Metal & Glass Containers
BAC,Bank of America Corp,Financials,Diversified Banks
BK,Bank of New York Mellon Corp,Financials,Asset Management & Custody Banks
BBWI,Bath & Body Works Inc,Consumer Discretionary,Other Specialty Retail
BAX,Baxter International Inc,Health Care,Health Care Equipment
BDX,Becton Dickinson and Co,Health Care,Health Care Equipment
BRK-B,Berkshire Hathaway Inc Cl B,Financials,Multi-Sector Holdings
BBY,Best Buy Co Inc,Consumer Discretionary,Computer & Electronics Retail
TECH,Bio-Techne Corp,Health Care,Life Sciences Tools & Services
BIIB,Biogen Inc,Health Care,Biotechnology
BLK,BlackRock Inc,Financials,Asset Management & Custody Banks
BX,Blackstone Inc,Financials,Asset Management & Custody Banks
BA,Boeing Co,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc,Consumer Discretionary,Hotels Resorts & Cruise Lines
BWA,BorgWarner Inc,Consumer Discretionary,Automotive Parts & Equipment
BSX,Boston Scientific Corp,Health Care,Health Care Equipment
BMY,Bristol-Myers Squibb Co,Health Care,Pharmaceuticals
AVGO,Broadcom Inc,Information Technology,Semiconductors
BR,Broadridge Financial Solutions Inc,Information Technology,Data Processing & Outsourced Services
BRO,Brown & Brown Inc,Financials,Insurance Brokers
BF-B,Brown-Forman Corp Cl B,Consumer Staples,Distillers & Vintners
BLDR,Builders FirstSource Inc,Industrials,Building Products
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services
CDNS,Cadence Design Systems Inc,Information Technology,Application Software
CZR,Caesars Entertainment Inc,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,Real Estate,Residential REITs
COF,Capital One Financial Corp,Financials,Consumer Finance
CAH,Cardinal Health Inc,Health Care,Health Care Distributors
KMX,CarMax Inc,Consumer Discretionary,Automotive Retail
CCL,Carnival Corp,Consumer Discretionary,Hotels Resorts & Cruise Lines
CARR,Carrier Global Corp,Industrials,Building Products
CTLT,Catalent Inc,Health Care,Pharmaceuticals
CAT,Caterpillar Inc,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,Cboe Global Markets Inc,Financials,Financial Exchanges & Data
CBRE,CBRE Group Inc,Real Estate,Real Estate Services
CDW,CDW Corp,Information Technology,Technology Distributors
CE,Celanese Corp,Materials,Specialty Chemicals
COR,Cencora Inc,Health Care,Health Care Distributors
CNC,Centene Corp,Health Care,Managed Health Care
CNP,CenterPoint Energy Inc,Utilities,Multi-Utilities
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals
CRL,Charles River Laboratories International Inc,Health Care,Life Sciences Tools & Services
SCHW,Charles Schwab Corp,Financials,Investment Banking & Brokerage
CHTR,Charter Communications Inc,Communication Services,Cable & Satellite
CVX,Chevron Corp,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary,Restaurants
CB,Chubb Ltd,Financials,Property & Casualty Insurance
CHD,Church & Dwight Co Inc,Consumer Staples,Household Products
CI,Cigna Group,Health Care,Managed Health Care
CINF,Cincinnati Financial Corp,Financials,Property & Casualty Insurance
CTAS,Cintas Corp,Industrials,Diversified Support Services
CSCO,Cisco Systems Inc,Information Technology,Communications Equipment
C,Citigroup Inc,Financials,Diversified Banks
CFG,Citizens Financial Group Inc,Financials,Regional Banks
CLX,Clorox Co,Consumer Staples,Household Products
CME,CME Group Inc,Financials,Financial Exchanges & Data
CMS,CMS Energy Corp,Utilities,Multi-Utilities
KO,Coca-Cola Co,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,Cognizant Technology Solutions Corp,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive Co,Consumer Staples,Household Products
CMCSA,Comcast Corp,Communication Services,Cable & Satellite
CAG,Conagra Brands Inc,Consumer Staples,Packaged Foods & Meats
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison Inc,Utilities,Electric Utilities
STZ,Constellation Brands Inc,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy Corp,Utilities,Electric Utilities
COO,Cooper Companies Inc,Health Care,Health Care Supplies
CPRT,Copart Inc,Industrials,Diversified Support Services
GLW,Corning Inc,Information Technology,Electronic Components
CPAY,Corpay Inc,Financials,Transaction & Payment Processing Services
CTVA,Corteva Inc,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group Inc,Real Estate,Real Estate Services
COST,Costco Wholesale Corp,Consumer Staples,Consumer Staples Merchandise Retail
CTRA,Coterra Energy Inc,Energy,Oil & Gas Exploration & Production
CRWD,CrowdStrike Holdings Inc,Information Technology,Systems Software
CCI,Crown Castle Inc,Real Estate,Telecom Tower REITs
CSX,CSX Corp,Industrials,Railroads
CMI,Cummins Inc,Industrials,Industrial Machinery & Supplies
CVS,CVS Health Corp,Health Care,Health Care Distributors
DHR,Danaher Corp,Health Care,Life Sciences Tools & Services
DRI,Darden Restaurants Inc,Consumer Discretionary,Restaurants
DVA,DaVita Inc,Health Care,Health Care Facilities
DAY,Dayforce Inc,Information Technology,Application Software
DECK,Deckers Outdoor Corp,Consumer Discretionary,Footwear
DE,Deere & Co,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines
DVN,Devon Energy Corp,Energy,Oil & Gas Exploration & Production
DXCM,DexCom Inc,Health Care,Health Care Equipment
FANG,Diamondback Energy Inc,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty Trust Inc,Real Estate,Data Center REITs
DFS,Discover Financial Services,Financials,Consumer Finance
DG,Dollar General Corp,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree Inc,Consumer Discretionary,General Merchandise Stores
D,Dominion Energy Inc,Utilities,Electric Utilities
DPZ,Domino's Pizza Inc,Consumer Discretionary,Restaurants
DOV,Dover Corp,Industrials,Industrial Machinery & Supplies
DOW,Dow Inc,Materials,Commodity Chemicals
DHI,DR Horton Inc,Consumer Discretionary,Homebuilding
